지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%)
108,서울,2018-01-01,-1.3,,39.1
108,서울,2018-01-02,-1.8,,42
108,서울,2018-01-03,-4.7,,42.3
108,서울,2018-01-04,-4.7,,43
108,서울,2018-01-05,-3,,48.4
108,서울,2018-01-06,-2.8,,45.8
108,서울,2018-01-07,-.8,,42.1
108,서울,2018-01-08,1.3,.9,51.9
108,서울,2018-01-09,-4.2,.5,59.4
108,서울,2018-01-10,-7.5,.3,52
108,서울,2018-01-11,-11.1,,49.8
108,서울,2018-01-12,-10.2,0,35.4
108,서울,2018-01-13,-4.4,.4,67.3
108,서울,2018-01-14,.6,,64.1
108,서울,2018-01-15,4.7,.2,63.9
108,서울,2018-01-16,3.5,0,59.1
108,서울,2018-01-17,4.5,,64.1
108,서울,2018-01-18,2.1,0,59.6
108,서울,2018-01-19,1,,43
108,서울,2018-01-20,2.2,,57.6
108,서울,2018-01-21,.4,,36.6
108,서울,2018-01-22,.2,3.3,56.5
108,서울,2018-01-23,-11.7,,42
108,서울,2018-01-24,-14.2,,31.6
108,서울,2018-01-25,-14,,32.6
108,서울,2018-01-26,-14.8,,34.9
108,서울,2018-01-27,-9.9,,37.4
108,서울,2018-01-28,-6.3,,36
108,서울,2018-01-29,-8.5,,35
108,서울,2018-01-30,-5.3,2.9,62
108,서울,2018-01-31,-2.6,0,54.5
108,서울,2018-02-01,-4,,44.1
108,서울,2018-02-02,-2.4,,51.1
108,서울,2018-02-03,-7.3,.5,47
108,서울,2018-02-04,-9.5,,40.9
108,서울,2018-02-05,-9.4,,37.8
108,서울,2018-02-06,-10.1,,36.5
108,서울,2018-02-07,-8,,39.8
108,서울,2018-02-08,-4.4,,43.3
108,서울,2018-02-09,.4,,43.9
108,서울,2018-02-10,-.5,,47.4
108,서울,2018-02-11,-6.1,0,42.5
108,서울,2018-02-12,-5.8,0,40.8
108,서울,2018-02-13,-.8,,54.5
108,서울,2018-02-14,3.5,,51
108,서울,2018-02-15,-.7,,28
108,서울,2018-02-16,-1.1,,40.1
108,서울,2018-02-17,-3,,25.6
108,서울,2018-02-18,-.4,,26.9
108,서울,2018-02-19,1.8,,48.6
108,서울,2018-02-20,.9,,41
108,서울,2018-02-21,-.9,,31.5
108,서울,2018-02-22,1.3,.4,59
108,서울,2018-02-23,4.2,3.7,81.1
108,서울,2018-02-24,2.4,,49.4
108,서울,2018-02-25,1.9,,40.6
108,서울,2018-02-26,3.1,,43.1
108,서울,2018-02-27,4.2,,48.8
108,서울,2018-02-28,4.6,25,73.3
108,서울,2018-03-01,-.2,.5,61.9
108,서울,2018-03-02,-.7,,34
108,서울,2018-03-03,7.9,0,38.1
108,서울,2018-03-04,9.8,11.5,89.1
108,서울,2018-03-05,5.5,3.5,67.5
108,서울,2018-03-06,4.5,,46.8
108,서울,2018-03-07,6.4,.5,54
108,서울,2018-03-08,4.6,4,76
108,서울,2018-03-09,4.5,,63.3
108,서울,2018-03-10,4.6,,65.8
108,서울,2018-03-11,6.4,,51.3
108,서울,2018-03-12,8,,45.8
108,서울,2018-03-13,12.4,,60.5
108,서울,2018-03-14,17,,58.8
108,서울,2018-03-15,12.4,27,92.1
108,서울,2018-03-16,7.1,,46.9
108,서울,2018-03-17,6.6,,48
108,서울,2018-03-18,8.2,.5,55.9
108,서울,2018-03-19,8,1,64.5
108,서울,2018-03-20,4.7,,39.9
108,서울,2018-03-21,2.1,1,64.1
108,서울,2018-03-22,4.9,,61.5
108,서울,2018-03-23,6.1,,55.3
108,서울,2018-03-24,7.6,,61.9
108,서울,2018-03-25,9.6,,65.6
108,서울,2018-03-26,11,,64.5
108,서울,2018-03-27,13.3,,61.1
108,서울,2018-03-28,14,,66.4
108,서울,2018-03-29,15.4,,66.3
108,서울,2018-03-30,14.8,,55.6
108,서울,2018-03-31,14,,52.9
108,서울,2018-04-01,15.6,,68.8
108,서울,2018-04-02,18.4,,64
108,서울,2018-04-03,17.8,.1,72.9
108,서울,2018-04-04,13.4,18.5,67
108,서울,2018-04-05,7.6,10.5,90.6
108,서울,2018-04-06,5.8,6.5,71.6
108,서울,2018-04-07,4.2,.2,45.5
108,서울,2018-04-08,3.9,3,59.6
108,서울,2018-04-09,7.9,,57.9
108,서울,2018-04-10,15.1,5,51
108,서울,2018-04-11,12.6,,49.4
108,서울,2018-04-12,13.3,,30.5
108,서울,2018-04-13,14.6,,22.9
108,서울,2018-04-14,9,9,78.8
108,서울,2018-04-15,9.5,,65.5
108,서울,2018-04-16,11.6,,41.9
108,서울,2018-04-17,12.9,,37.9
108,서울,2018-04-18,12.4,,35.4
108,서울,2018-04-19,14,,38.8
108,서울,2018-04-20,18.4,,46
108,서울,2018-04-21,18.7,,32
108,서울,2018-04-22,15.5,15.5,57.4
108,서울,2018-04-23,9.3,59,93.9
108,서울,2018-04-24,12.1,3,63.3
108,서울,2018-04-25,14.6,,37.8
108,서울,2018-04-26,14.9,,51.9
108,서울,2018-04-27,15.7,,52.9
108,서울,2018-04-28,15.4,,49
108,서울,2018-04-29,16.2,,43.1
108,서울,2018-04-30,19.2,,61.6
108,서울,2018-05-01,20.4,0,72.8
108,서울,2018-05-02,15.1,12,90.4
108,서울,2018-05-03,11.2,1,62.4
108,서울,2018-05-04,14.1,,45.5
108,서울,2018-05-05,18.3,,46.8
108,서울,2018-05-06,16.6,22,86.4
108,서울,2018-05-07,19.2,,60.3
108,서울,2018-05-08,17.5,,50.9
108,서울,2018-05-09,15.7,,50.4
108,서울,2018-05-10,15.4,,67.4
108,서울,2018-05-11,16.1,,59.8
108,서울,2018-05-12,14.2,32,89.3
108,서울,2018-05-13,15.8,.5,82.5
108,서울,2018-05-14,18.2,,71.4
108,서울,2018-05-15,23.2,0,56.4
108,서울,2018-05-16,22.3,45,93.8
108,서울,2018-05-17,20.9,83,97
108,서울,2018-05-18,16.3,6.5,86.8
108,서울,2018-05-19,17.6,,47.5
108,서울,2018-05-20,17,,32.1
108,서울,2018-05-21,17.8,,43.9
108,서울,2018-05-22,18.1,12.5,75.5
108,서울,2018-05-23,17.3,6.5,57.1
108,서울,2018-05-24,18.3,,47.4
108,서울,2018-05-25,19.7,,47.4
108,서울,2018-05-26,21.8,,50.1
108,서울,2018-05-27,20.3,,47.4
108,서울,2018-05-28,22.3,,49.8
108,서울,2018-05-29,21.4,1,69.3
108,서울,2018-05-30,20.2,0,69.8
108,서울,2018-05-31,20.9,,58.9
108,서울,2018-06-01,23.8,,50.4
108,서울,2018-06-02,23.4,,44.5
108,서울,2018-06-03,24,,39.4
108,서울,2018-06-04,22.6,,50.1
108,서울,2018-06-05,23.7,,52.5
108,서울,2018-06-06,23,,62.9
108,서울,2018-06-07,22.2,,69.3
108,서울,2018-06-08,21.9,,68
108,서울,2018-06-09,23.7,.5,60.6
108,서울,2018-06-10,21.3,.5,59.9
108,서울,2018-06-11,20.2,5,67.3
108,서울,2018-06-12,21.3,0,65.5
108,서울,2018-06-13,22,0,64
108,서울,2018-06-14,21.6,29,74.9
108,서울,2018-06-15,21.7,16.5,60.8
108,서울,2018-06-16,22.5,,56.4
108,서울,2018-06-17,22.8,,66.9
108,서울,2018-06-18,24.8,,54.9
108,서울,2018-06-19,22.4,,61.3
108,서울,2018-06-20,22.7,,68.1
108,서울,2018-06-21,23.7,,60.1
108,서울,2018-06-22,25,,45.1
108,서울,2018-06-23,24.5,,50.6
108,서울,2018-06-24,25.2,,62.8
108,서울,2018-06-25,27.1,,57.1
108,서울,2018-06-26,22.3,71.5,88.3
108,서울,2018-06-27,22.3,1,81.9
108,서울,2018-06-28,23.3,26.5,85.1
108,서울,2018-06-29,24.7,6.5,78.5
108,서울,2018-06-30,24.4,14.5,83.8
108,서울,2018-07-01,21.9,83.5,94.6
108,서울,2018-07-02,22.6,59.5,95.4
108,서울,2018-07-03,27.4,.1,74.4
108,서울,2018-07-04,27.3,,69.6
108,서울,2018-07-05,25.3,.5,72.8
108,서울,2018-07-06,23.9,,57.8
108,서울,2018-07-07,23.7,,51.4
108,서울,2018-07-08,23.3,,51.5
108,서울,2018-07-09,20.8,14,82.3
108,서울,2018-07-10,23.7,16.5,87.8
108,서울,2018-07-11,26.8,3,82.9
108,서울,2018-07-12,26.6,1,82.4
108,서울,2018-07-13,27.3,,74.8
108,서울,2018-07-14,27.9,0,69.6
108,서울,2018-07-15,28.3,,69.6
108,서울,2018-07-16,28.7,,64.3
108,서울,2018-07-17,28.1,,66.5
108,서울,2018-07-18,28.2,,64.8
108,서울,2018-07-19,28.7,,64.1
108,서울,2018-07-20,29.5,,62.6
108,서울,2018-07-21,30.6,,53.6
108,서울,2018-07-22,31.8,,49.6
108,서울,2018-07-23,31.7,,53.8
108,서울,2018-07-24,31.4,,59.5
108,서울,2018-07-25,30.1,,66.3
108,서울,2018-07-26,30.1,,68.8
108,서울,2018-07-27,30.9,,69.3
108,서울,2018-07-28,29.5,7.5,77.1
108,서울,2018-07-29,31.3,,52.4
108,서울,2018-07-30,31.7,,50.9
108,서울,2018-07-31,32.6,,50.5
108,서울,2018-08-01,33.6,,55.5
108,서울,2018-08-02,33.7,,54.4
108,서울,2018-08-03,33.1,,55.3
108,서울,2018-08-04,31.1,,60.6
108,서울,2018-08-05,30,2,71.8
108,서울,2018-08-06,30.5,6.5,71.6
108,서울,2018-08-07,30.5,,63.4
108,서울,2018-08-08,31,,64.8
108,서울,2018-08-09,28.8,2,76.3
108,서울,2018-08-10,30.7,,60.9
108,서울,2018-08-11,31,,55.8
108,서울,2018-08-12,30.6,5,61.3
108,서울,2018-08-13,30.5,1,68.6
108,서울,2018-08-14,31.7,,58.3
108,서울,2018-08-15,31.7,1,59.5
108,서울,2018-08-16,29.9,,51
108,서울,2018-08-17,27.2,,39.8
108,서울,2018-08-18,26.7,,44.6
108,서울,2018-08-19,28.2,,50.6
108,서울,2018-08-20,29.1,0,55.6
108,서울,2018-08-21,26.6,5,71.4
108,서울,2018-08-22,30.7,,54.1
108,서울,2018-08-23,29.4,3,59.1
108,서울,2018-08-24,24.4,7.5,86.3
108,서울,2018-08-25,25.2,,68
108,서울,2018-08-26,23.2,2,70
108,서울,2018-08-27,22.7,19.5,91
108,서울,2018-08-28,23.7,96.5,92.4
108,서울,2018-08-29,25.2,42,86
108,서울,2018-08-30,25.3,9.5,80.9
108,서울,2018-08-31,25.6,.1,67.4
108,서울,2018-09-01,25.5,,59.4
108,서울,2018-09-02,25.1,,55.8
108,서울,2018-09-03,23.3,34.5,85.3
108,서울,2018-09-04,23.2,,69.4
108,서울,2018-09-05,24,,63.5
108,서울,2018-09-06,24.1,1,69.9
108,서울,2018-09-07,22,.5,54.6
108,서울,2018-09-08,21.7,,48.8
108,서울,2018-09-09,22.2,,49
108,서울,2018-09-10,22.9,,49.5
108,서울,2018-09-11,21.6,,48.1
108,서울,2018-09-12,22.8,,52
108,서울,2018-09-13,23.5,,63.5
108,서울,2018-09-14,23.5,.5,66.9
108,서울,2018-09-15,23.3,.2,76
108,서울,2018-09-16,22.2,2,83.6
108,서울,2018-09-17,22.3,.1,64.3
108,서울,2018-09-18,22,,59.8
108,서울,2018-09-19,22.1,.2,59.1
108,서울,2018-09-20,19,5,82.4
108,서울,2018-09-21,19.4,18,85.8
108,서울,2018-09-22,20.8,6.5,62.3
108,서울,2018-09-23,19.4,0,52.9
108,서울,2018-09-24,17.6,,48.3
108,서울,2018-09-25,17.8,,48
108,서울,2018-09-26,19.4,,47.9
108,서울,2018-09-27,18.9,,47.6
108,서울,2018-09-28,17.5,,58.1
108,서울,2018-09-29,20.2,,55.5
108,서울,2018-09-30,17.6,,52.5
108,서울,2018-10-01,15.4,0,55.1
108,서울,2018-10-02,15.9,,61.4
108,서울,2018-10-03,17.3,,58
108,서울,2018-10-04,19.3,,56.5
108,서울,2018-10-05,16.9,36.5,84.1
108,서울,2018-10-06,18,55.5,84
108,서울,2018-10-07,16.4,,53.5
108,서울,2018-10-08,14.8,,47
108,서울,2018-10-09,15.3,0,52.5
108,서울,2018-10-10,12,7,61
108,서울,2018-10-11,9.7,,51
108,서울,2018-10-12,10.9,,54
108,서울,2018-10-13,12.5,,54
108,서울,2018-10-14,13.2,,60
108,서울,2018-10-15,15.2,,69.9
108,서울,2018-10-16,14.5,,55.9
108,서울,2018-10-17,12.4,,53.3
